序号,工厂,车型,物料号,MTOC,车辆等级描述,外色描述,计划日期,每日顺序,阶段,订单类型,操作类型,生产订单号,生产订单号-ERP,订单状态,天窗,主车型代码,内饰描述,电池特征
40096,Factory1,K7,WL0292,M0319,低配,极速银,2022-10-19,622,SOP,order1,op1,PR039280,EPR039280,排序,整体式全景天窗,CX17,棕色主题,厂商A58(580)+厂商B（小） 58.81kWh+100kW
40097,Factory1,K7,WL0292,M0319,低配,极速银,2022-10-19,623,SOP,order1,op1,PR039281,EPR039281,排序,整体式全景天窗,CX17,棕色主题,厂商A58(580)+厂商B（小） 58.81kWh+100kW
40098,Factory1,K7,WL0292,M0319,低配,极速银,2022-10-19,624,SOP,order1,op1,PR039282,EPR039282,排序,整体式全景天窗,CX17,棕色主题,厂商A58(580)+厂商B（小） 58.81kWh+100kW
40099,Factory1,K7,WL0292,M0319,低配,极速银,2022-10-19,625,SOP,order1,op1,PR039283,EPR039283,排序,整体式全景天窗,CX17,棕色主题,厂商A58(580)+厂商B（小） 58.81kWh+100kW
40100,Factory1,K7,WL0292,M0319,低配,极速银,2022-10-19,626,SOP,order1,op1,PR039284,EPR039284,排序,整体式全景天窗,CX17,棕色主题,厂商A58(580)+厂商B（小） 58.81kWh+100kW
40101,Factory1,K7,WL0292,M0319,低配,极速银,2022-10-19,627,SOP,order1,op1,PR039285,EPR039285,排序,整体式全景天窗,CX17,棕色主题,厂商A58(580)+厂商B（小） 58.81kWh+100kW
40102,Factory1,K7,WL0292,M0319,低配,极速银,2022-10-19,628,SOP,order1,op1,PR039286,EPR039286,排序,整体式全景天窗,CX17,棕色主题,厂商A58(580)+厂商B（小） 58.81kWh+100kW
40103,Factory1,K7,WL0292,M0319,低配,极速银,2022-10-19,629,SOP,order1,op1,PR039287,EPR039287,排序,整体式全景天窗,CX17,棕色主题,厂商A58(580)+厂商B（小） 58.81kWh+100kW
40104,Factory1,K7,WL0292,M0319,低配,极速银,2022-10-19,630,SOP,order1,op1,PR039288,EPR039288,排序,整体式全景天窗,CX17,棕色主题,厂商A58(580)+厂商B（小） 58.81kWh+100kW
40105,Factory1,K7,WL0292,M0319,低配,极速银,2022-10-19,631,SOP,order1,op1,PR039289,EPR039289,排序,整体式全景天窗,CX17,棕色主题,厂商A58(580)+厂商B（小） 58.81kWh+100kW
40106,Factory1,K7,WL0292,M0319,低配,极速银,2022-10-19,632,SOP,order1,op1,PR039290,EPR039290,排序,整体式全景天窗,CX17,棕色主题,厂商A58(580)+厂商B（小） 58.81kWh+100kW
40107,Factory1,K7,WL0292,M0319,低配,极速银,2022-10-19,633,SOP,order1,op1,PR039291,EPR039291,排序,整体式全景天窗,CX17,棕色主题,厂商A58(580)+厂商B（小） 58.81kWh+100kW
40108,Factory1,K7,WL0292,M0319,低配,极速银,2022-10-19,634,SOP,order1,op1,PR039292,EPR039292,排序,整体式全景天窗,CX17,棕色主题,厂商A58(580)+厂商B（小） 58.81kWh+100kW
40109,Factory1,K7,WL0292,M0319,低配,极速银,2022-10-19,635,SOP,order1,op1,PR039293,EPR039293,排序,整体式全景天窗,CX17,棕色主题,厂商A58(580)+厂商B（小） 58.81kWh+100kW
40110,Factory1,K7,WL0292,M0319,低配,极速银,2022-10-19,636,SOP,order1,op1,PR039294,EPR039294,排序,整体式全景天窗,CX17,棕色主题,厂商A58(580)+厂商B（小） 58.81kWh+100kW
40111,Factory1,K7,WL0292,M0319,低配,极速银,2022-10-19,637,SOP,order1,op1,PR039295,EPR039295,排序,整体式全景天窗,CX17,棕色主题,厂商A58(580)+厂商B（小） 58.81kWh+100kW
40112,Factory1,K7,WL0292,M0319,低配,极速银,2022-10-19,638,SOP,order1,op1,PR039296,EPR039296,排序,整体式全景天窗,CX17,棕色主题,厂商A58(580)+厂商B（小） 58.81kWh+100kW
40113,Factory1,K7,WL0292,M0319,低配,极速银,2022-10-19,639,SOP,order1,op1,PR039297,EPR039297,排序,整体式全景天窗,CX17,棕色主题,厂商A58(580)+厂商B（小） 58.81kWh+100kW
40114,Factory1,K7,WL0292,M0319,低配,极速银,2022-10-19,640,SOP,order1,op1,PR039298,EPR039298,排序,整体式全景天窗,CX17,棕色主题,厂商A58(580)+厂商B（小） 58.81kWh+100kW
40115,Factory1,K7,WL0292,M0319,低配,极速银,2022-10-19,641,SOP,order1,op1,PR039299,EPR039299,排序,整体式全景天窗,CX17,棕色主题,厂商A58(580)+厂商B（小） 58.81kWh+100kW
40116,Factory1,K7,WL0292,M0319,低配,极速银,2022-10-19,642,SOP,order1,op1,PR039300,EPR039300,排序,整体式全景天窗,CX17,棕色主题,厂商A58(580)+厂商B（小） 58.81kWh+100kW
