序号,工厂,车型,物料号,MTOC,车辆等级描述,外色描述,计划日期,每日顺序,阶段,订单类型,操作类型,生产订单号,生产订单号-ERP,订单状态,天窗,主车型代码,内饰描述,电池特征
20521,Factory1,K7,WL0044,M0055,出租车全国版,极地白,2022-09-24,1,SOP,order1,op1,PR019804,EPR019804,排序,无天窗,CX23,出租车主题,厂商A58(530)+厂商B（小） 58.81kWh+100kW
20522,Factory1,K7,WL0044,M0055,出租车全国版,极地白,2022-09-24,2,SOP,order1,op1,PR019805,EPR019805,排序,无天窗,CX23,出租车主题,厂商A58(530)+厂商B（小） 58.81kWh+100kW
20523,Factory1,K7,WL0044,M0055,出租车全国版,极地白,2022-09-24,3,SOP,order1,op1,PR019806,EPR019806,排序,无天窗,CX23,出租车主题,厂商A58(530)+厂商B（小） 58.81kWh+100kW
20524,Factory1,K7,WL0044,M0055,出租车全国版,极地白,2022-09-24,4,SOP,order1,op1,PR019807,EPR019807,排序,无天窗,CX23,出租车主题,厂商A58(530)+厂商B（小） 58.81kWh+100kW
20525,Factory1,K7,WL0044,M0055,出租车全国版,极地白,2022-09-24,5,SOP,order1,op1,PR019808,EPR019808,排序,无天窗,CX23,出租车主题,厂商A58(530)+厂商B（小） 58.81kWh+100kW
20526,Factory1,K7,WL0044,M0055,出租车全国版,极地白,2022-09-24,6,SOP,order1,op1,PR019809,EPR019809,排序,无天窗,CX23,出租车主题,厂商A58(530)+厂商B（小） 58.81kWh+100kW
20527,Factory1,K7,WL0044,M0055,出租车全国版,极地白,2022-09-24,7,SOP,order1,op1,PR019810,EPR019810,排序,无天窗,CX23,出租车主题,厂商A58(530)+厂商B（小） 58.81kWh+100kW
20528,Factory1,K7,WL0044,M0055,出租车全国版,极地白,2022-09-24,8,SOP,order1,op1,PR019811,EPR019811,排序,无天窗,CX23,出租车主题,厂商A58(530)+厂商B（小） 58.81kWh+100kW
20529,Factory1,K7,WL0044,M0055,出租车全国版,极地白,2022-09-24,9,SOP,order1,op1,PR019812,EPR019812,排序,无天窗,CX23,出租车主题,厂商A58(530)+厂商B（小） 58.81kWh+100kW
20530,Factory1,K7,WL0044,M0055,出租车全国版,极地白,2022-09-24,10,SOP,order1,op1,PR019813,EPR019813,排序,无天窗,CX23,出租车主题,厂商A58(530)+厂商B（小） 58.81kWh+100kW
20531,Factory1,K7,WL0044,M0055,出租车全国版,极地白,2022-09-24,11,SOP,order1,op1,PR019814,EPR019814,排序,无天窗,CX23,出租车主题,厂商A58(530)+厂商B（小） 58.81kWh+100kW
20532,Factory1,K7,WL0044,M0055,出租车全国版,极地白,2022-09-24,12,SOP,order1,op1,PR019815,EPR019815,排序,无天窗,CX23,出租车主题,厂商A58(530)+厂商B（小） 58.81kWh+100kW
20533,Factory1,K7,WL0044,M0055,出租车全国版,极地白,2022-09-24,13,SOP,order1,op1,PR019816,EPR019816,排序,无天窗,CX23,出租车主题,厂商A58(530)+厂商B（小） 58.81kWh+100kW
20534,Factory1,K7,WL0044,M0055,出租车全国版,极地白,2022-09-24,14,SOP,order1,op1,PR019817,EPR019817,排序,无天窗,CX23,出租车主题,厂商A58(530)+厂商B（小） 58.81kWh+100kW
20535,Factory1,K7,WL0044,M0055,出租车全国版,极地白,2022-09-24,15,SOP,order1,op1,PR019818,EPR019818,排序,无天窗,CX23,出租车主题,厂商A58(530)+厂商B（小） 58.81kWh+100kW
20536,Factory1,K7,WL0044,M0055,出租车全国版,极地白,2022-09-24,16,SOP,order1,op1,PR019819,EPR019819,排序,无天窗,CX23,出租车主题,厂商A58(530)+厂商B（小） 58.81kWh+100kW
20537,Factory1,K7,WL0044,M0055,出租车全国版,极地白,2022-09-24,17,SOP,order1,op1,PR019820,EPR019820,排序,无天窗,CX23,出租车主题,厂商A58(530)+厂商B（小） 58.81kWh+100kW
20538,Factory1,K7,WL0044,M0055,出租车全国版,极地白,2022-09-24,18,SOP,order1,op1,PR019821,EPR019821,排序,无天窗,CX23,出租车主题,厂商A58(530)+厂商B（小） 58.81kWh+100kW
20539,Factory1,K7,WL0044,M0055,出租车全国版,极地白,2022-09-24,19,SOP,order1,op1,PR019822,EPR019822,排序,无天窗,CX23,出租车主题,厂商A58(530)+厂商B（小） 58.81kWh+100kW
20540,Factory1,K7,WL0044,M0055,出租车全国版,极地白,2022-09-24,20,SOP,order1,op1,PR019823,EPR019823,排序,无天窗,CX23,出租车主题,厂商A58(530)+厂商B（小） 58.81kWh+100kW
20541,Factory1,K7,WL0044,M0055,出租车全国版,极地白,2022-09-24,21,SOP,order1,op1,PR019824,EPR019824,排序,无天窗,CX23,出租车主题,厂商A58(530)+厂商B（小） 58.81kWh+100kW
20542,Factory1,K7,WL0044,M0055,出租车全国版,极地白,2022-09-24,22,SOP,order1,op1,PR019825,EPR019825,排序,无天窗,CX23,出租车主题,厂商A58(530)+厂商B（小） 58.81kWh+100kW
