序号,工厂,车型,物料号,MTOC,车辆等级描述,外色描述,计划日期,每日顺序,阶段,订单类型,操作类型,生产订单号,生产订单号-ERP,订单状态,天窗,主车型代码,内饰描述,电池特征
7513,Factory1,K2,WL0038,M0049,次中配,烟雨青,2022-09-09,1,SOP,order1,op1,PR007406,EPR007406,排序,天幕,CX22,新角逐之夜,厂商C+厂商B 69.9kWh+165kW（新）
7514,Factory1,K2,WL0038,M0049,次中配,烟雨青,2022-09-09,2,SOP,order1,op1,PR007407,EPR007407,排序,天幕,CX22,新角逐之夜,厂商C+厂商B 69.9kWh+165kW（新）
7515,Factory1,K4,WL0005,M0011,低配-Lite,极地白,2022-09-09,3,SOP,order1,op1,PR007408,EPR007408,排序,整体式全景天窗,CX10,深色主题,厂商A LFP 177Ah（460）+厂商B(小) 60.038kWh+100kW(厂商FBMS)
7516,Factory1,K4,WL0005,M0011,低配-Lite,极地白,2022-09-09,4,SOP,order1,op1,PR007409,EPR007409,排序,整体式全景天窗,CX10,深色主题,厂商A LFP 177Ah（460）+厂商B(小) 60.038kWh+100kW(厂商FBMS)
7517,Factory1,K4,WL0005,M0011,低配-Lite,极地白,2022-09-09,5,SOP,order1,op1,PR007410,EPR007410,排序,整体式全景天窗,CX10,深色主题,厂商A LFP 177Ah（460）+厂商B(小) 60.038kWh+100kW(厂商FBMS)
7518,Factory1,K4,WL0005,M0011,低配-Lite,极地白,2022-09-09,6,SOP,order1,op1,PR007411,EPR007411,排序,整体式全景天窗,CX10,深色主题,厂商A LFP 177Ah（460）+厂商B(小) 60.038kWh+100kW(厂商FBMS)
7519,Factory1,K4,WL0005,M0011,低配-Lite,极地白,2022-09-09,7,SOP,order1,op1,PR007412,EPR007412,排序,整体式全景天窗,CX10,深色主题,厂商A LFP 177Ah（460）+厂商B(小) 60.038kWh+100kW(厂商FBMS)
7520,Factory1,K4,WL0005,M0011,低配-Lite,极地白,2022-09-09,8,SOP,order1,op1,PR007413,EPR007413,排序,整体式全景天窗,CX10,深色主题,厂商A LFP 177Ah（460）+厂商B(小) 60.038kWh+100kW(厂商FBMS)
7521,Factory1,K4,WL0005,M0011,低配-Lite,极地白,2022-09-09,9,SOP,order1,op1,PR007414,EPR007414,排序,整体式全景天窗,CX10,深色主题,厂商A LFP 177Ah（460）+厂商B(小) 60.038kWh+100kW(厂商FBMS)
7522,Factory1,K4,WL0005,M0011,低配-Lite,极地白,2022-09-09,10,SOP,order1,op1,PR007415,EPR007415,排序,整体式全景天窗,CX10,深色主题,厂商A LFP 177Ah（460）+厂商B(小) 60.038kWh+100kW(厂商FBMS)
7523,Factory1,K4,WL0005,M0011,低配-Lite,极地白,2022-09-09,11,SOP,order1,op1,PR007416,EPR007416,排序,整体式全景天窗,CX10,深色主题,厂商A LFP 177Ah（460）+厂商B(小) 60.038kWh+100kW(厂商FBMS)
7524,Factory1,K4,WL0005,M0011,低配-Lite,极地白,2022-09-09,12,SOP,order1,op1,PR007417,EPR007417,排序,整体式全景天窗,CX10,深色主题,厂商A LFP 177Ah（460）+厂商B(小) 60.038kWh+100kW(厂商FBMS)
7525,Factory1,K4,WL0005,M0011,低配-Lite,极地白,2022-09-09,13,SOP,order1,op1,PR007418,EPR007418,排序,整体式全景天窗,CX10,深色主题,厂商A LFP 177Ah（460）+厂商B(小) 60.038kWh+100kW(厂商FBMS)
7526,Factory1,K4,WL0005,M0011,低配-Lite,极地白,2022-09-09,14,SOP,order1,op1,PR007419,EPR007419,排序,整体式全景天窗,CX10,深色主题,厂商A LFP 177Ah（460）+厂商B(小) 60.038kWh+100kW(厂商FBMS)
7527,Factory1,K4,WL0005,M0011,低配-Lite,极地白,2022-09-09,15,SOP,order1,op1,PR007420,EPR007420,排序,整体式全景天窗,CX10,深色主题,厂商A LFP 177Ah（460）+厂商B(小) 60.038kWh+100kW(厂商FBMS)
7528,Factory1,K4,WL0005,M0011,低配-Lite,极地白,2022-09-09,16,SOP,order1,op1,PR007421,EPR007421,排序,整体式全景天窗,CX10,深色主题,厂商A LFP 177Ah（460）+厂商B(小) 60.038kWh+100kW(厂商FBMS)
7529,Factory1,K4,WL0005,M0011,低配-Lite,极地白,2022-09-09,17,SOP,order1,op1,PR007422,EPR007422,排序,整体式全景天窗,CX10,深色主题,厂商A LFP 177Ah（460）+厂商B(小) 60.038kWh+100kW(厂商FBMS)
7530,Factory1,K4,WL0005,M0011,低配-Lite,极地白,2022-09-09,18,SOP,order1,op1,PR007423,EPR007423,排序,整体式全景天窗,CX10,深色主题,厂商A LFP 177Ah（460）+厂商B(小) 60.038kWh+100kW(厂商FBMS)
7531,Factory1,K4,WL0005,M0011,低配-Lite,极地白,2022-09-09,19,SOP,order1,op1,PR007424,EPR007424,排序,整体式全景天窗,CX10,深色主题,厂商A LFP 177Ah（460）+厂商B(小) 60.038kWh+100kW(厂商FBMS)
7532,Factory1,K4,WL0005,M0011,低配-Lite,极地白,2022-09-09,20,SOP,order1,op1,PR007425,EPR007425,排序,整体式全景天窗,CX10,深色主题,厂商A LFP 177Ah（460）+厂商B(小) 60.038kWh+100kW(厂商FBMS)
7533,Factory1,K4,WL0005,M0011,低配-Lite,极地白,2022-09-09,21,SOP,order1,op1,PR007426,EPR007426,排序,整体式全景天窗,CX10,深色主题,厂商A LFP 177Ah（460）+厂商B(小) 60.038kWh+100kW(厂商FBMS)
