序号,工厂,车型,物料号,MTOC,车辆等级描述,外色描述,计划日期,每日顺序,阶段,订单类型,操作类型,生产订单号,生产订单号-ERP,订单状态,天窗,主车型代码,内饰描述,电池特征
42100,Factory1,K4,WL0023,M0033,低配-Lite,极速银,2022-10-23,1,SOP,order1,op1,PR041272,EPR041272,排序,整体式全景天窗,CX10,深色主题,厂商A LFP 177Ah（460）+厂商B(小) 60.038kWh+100kW(厂商FBMS)
42101,Factory1,K4,WL0023,M0033,低配-Lite,极速银,2022-10-23,2,SOP,order1,op1,PR041273,EPR041273,排序,整体式全景天窗,CX10,深色主题,厂商A LFP 177Ah（460）+厂商B(小) 60.038kWh+100kW(厂商FBMS)
42102,Factory1,K4,WL0023,M0033,低配-Lite,极速银,2022-10-23,3,SOP,order1,op1,PR041274,EPR041274,排序,整体式全景天窗,CX10,深色主题,厂商A LFP 177Ah（460）+厂商B(小) 60.038kWh+100kW(厂商FBMS)
42103,Factory1,K4,WL0023,M0033,低配-Lite,极速银,2022-10-23,4,SOP,order1,op1,PR041275,EPR041275,排序,整体式全景天窗,CX10,深色主题,厂商A LFP 177Ah（460）+厂商B(小) 60.038kWh+100kW(厂商FBMS)
42104,Factory1,K4,WL0023,M0033,低配-Lite,极速银,2022-10-23,5,SOP,order1,op1,PR041276,EPR041276,排序,整体式全景天窗,CX10,深色主题,厂商A LFP 177Ah（460）+厂商B(小) 60.038kWh+100kW(厂商FBMS)
42105,Factory1,K4,WL0023,M0033,低配-Lite,极速银,2022-10-23,6,SOP,order1,op1,PR041277,EPR041277,排序,整体式全景天窗,CX10,深色主题,厂商A LFP 177Ah（460）+厂商B(小) 60.038kWh+100kW(厂商FBMS)
42106,Factory1,K4,WL0023,M0033,低配-Lite,极速银,2022-10-23,7,SOP,order1,op1,PR041278,EPR041278,排序,整体式全景天窗,CX10,深色主题,厂商A LFP 177Ah（460）+厂商B(小) 60.038kWh+100kW(厂商FBMS)
42107,Factory1,K4,WL0023,M0033,低配-Lite,极速银,2022-10-23,8,SOP,order1,op1,PR041279,EPR041279,排序,整体式全景天窗,CX10,深色主题,厂商A LFP 177Ah（460）+厂商B(小) 60.038kWh+100kW(厂商FBMS)
42108,Factory1,K4,WL0023,M0033,低配-Lite,极速银,2022-10-23,9,SOP,order1,op1,PR041280,EPR041280,排序,整体式全景天窗,CX10,深色主题,厂商A LFP 177Ah（460）+厂商B(小) 60.038kWh+100kW(厂商FBMS)
42109,Factory1,K4,WL0023,M0033,低配-Lite,极速银,2022-10-23,10,SOP,order1,op1,PR041281,EPR041281,排序,整体式全景天窗,CX10,深色主题,厂商A LFP 177Ah（460）+厂商B(小) 60.038kWh+100kW(厂商FBMS)
42110,Factory1,K4,WL0023,M0033,低配-Lite,极速银,2022-10-23,11,SOP,order1,op1,PR041282,EPR041282,排序,整体式全景天窗,CX10,深色主题,厂商A LFP 177Ah（460）+厂商B(小) 60.038kWh+100kW(厂商FBMS)
42111,Factory1,K4,WL0023,M0033,低配-Lite,极速银,2022-10-23,12,SOP,order1,op1,PR041283,EPR041283,排序,整体式全景天窗,CX10,深色主题,厂商A LFP 177Ah（460）+厂商B(小) 60.038kWh+100kW(厂商FBMS)
42112,Factory1,K4,WL0023,M0033,低配-Lite,极速银,2022-10-23,13,SOP,order1,op1,PR041284,EPR041284,排序,整体式全景天窗,CX10,深色主题,厂商A LFP 177Ah（460）+厂商B(小) 60.038kWh+100kW(厂商FBMS)
42113,Factory1,K4,WL0023,M0033,低配-Lite,极速银,2022-10-23,14,SOP,order1,op1,PR041285,EPR041285,排序,整体式全景天窗,CX10,深色主题,厂商A LFP 177Ah（460）+厂商B(小) 60.038kWh+100kW(厂商FBMS)
42114,Factory1,K4,WL0005,M0011,低配-Lite,极地白,2022-10-23,15,SOP,order1,op1,PR041286,EPR041286,排序,整体式全景天窗,CX10,深色主题,厂商A LFP 177Ah（460）+厂商B(小) 60.038kWh+100kW(厂商FBMS)
42115,Factory1,K4,WL0005,M0011,低配-Lite,极地白,2022-10-23,16,SOP,order1,op1,PR041287,EPR041287,排序,整体式全景天窗,CX10,深色主题,厂商A LFP 177Ah（460）+厂商B(小) 60.038kWh+100kW(厂商FBMS)
42116,Factory1,K4,WL0005,M0011,低配-Lite,极地白,2022-10-23,17,SOP,order1,op1,PR041288,EPR041288,排序,整体式全景天窗,CX10,深色主题,厂商A LFP 177Ah（460）+厂商B(小) 60.038kWh+100kW(厂商FBMS)
42117,Factory1,K4,WL0005,M0011,低配-Lite,极地白,2022-10-23,18,SOP,order1,op1,PR041289,EPR041289,排序,整体式全景天窗,CX10,深色主题,厂商A LFP 177Ah（460）+厂商B(小) 60.038kWh+100kW(厂商FBMS)
42118,Factory1,K4,WL0005,M0011,低配-Lite,极地白,2022-10-23,19,SOP,order1,op1,PR041290,EPR041290,排序,整体式全景天窗,CX10,深色主题,厂商A LFP 177Ah（460）+厂商B(小) 60.038kWh+100kW(厂商FBMS)
42119,Factory1,K4,WL0005,M0011,低配-Lite,极地白,2022-10-23,20,SOP,order1,op1,PR041291,EPR041291,排序,整体式全景天窗,CX10,深色主题,厂商A LFP 177Ah（460）+厂商B(小) 60.038kWh+100kW(厂商FBMS)
42120,Factory1,K4,WL0005,M0011,低配-Lite,极地白,2022-10-23,21,SOP,order1,op1,PR041292,EPR041292,排序,整体式全景天窗,CX10,深色主题,厂商A LFP 177Ah（460）+厂商B(小) 60.038kWh+100kW(厂商FBMS)
42121,Factory1,K4,WL0005,M0011,低配-Lite,极地白,2022-10-23,22,SOP,order1,op1,PR041293,EPR041293,排序,整体式全景天窗,CX10,深色主题,厂商A LFP 177Ah（460）+厂商B(小) 60.038kWh+100kW(厂商FBMS)
42122,Factory1,K4,WL0005,M0011,低配-Lite,极地白,2022-10-23,23,SOP,order1,op1,PR041294,EPR041294,排序,整体式全景天窗,CX10,深色主题,厂商A LFP 177Ah（460）+厂商B(小) 60.038kWh+100kW(厂商FBMS)
42123,Factory1,K4,WL0005,M0011,低配-Lite,极地白,2022-10-23,24,SOP,order1,op1,PR041295,EPR041295,排序,整体式全景天窗,CX10,深色主题,厂商A LFP 177Ah（460）+厂商B(小) 60.038kWh+100kW(厂商FBMS)
42124,Factory1,K4,WL0005,M0011,低配-Lite,极地白,2022-10-23,25,SOP,order1,op1,PR041296,EPR041296,排序,整体式全景天窗,CX10,深色主题,厂商A LFP 177Ah（460）+厂商B(小) 60.038kWh+100kW(厂商FBMS)
42125,Factory1,K4,WL0005,M0011,低配-Lite,极地白,2022-10-23,26,SOP,order1,op1,PR041297,EPR041297,排序,整体式全景天窗,CX10,深色主题,厂商A LFP 177Ah（460）+厂商B(小) 60.038kWh+100kW(厂商FBMS)
42126,Factory1,K4,WL0005,M0011,低配-Lite,极地白,2022-10-23,27,SOP,order1,op1,PR041298,EPR041298,排序,整体式全景天窗,CX10,深色主题,厂商A LFP 177Ah（460）+厂商B(小) 60.038kWh+100kW(厂商FBMS)
42127,Factory1,K4,WL0005,M0011,低配-Lite,极地白,2022-10-23,28,SOP,order1,op1,PR041299,EPR041299,排序,整体式全景天窗,CX10,深色主题,厂商A LFP 177Ah（460）+厂商B(小) 60.038kWh+100kW(厂商FBMS)
42128,Factory1,K4,WL0005,M0011,低配-Lite,极地白,2022-10-23,29,SOP,order1,op1,PR041300,EPR041300,排序,整体式全景天窗,CX10,深色主题,厂商A LFP 177Ah（460）+厂商B(小) 60.038kWh+100kW(厂商FBMS)
42129,Factory1,K4,WL0005,M0011,低配-Lite,极地白,2022-10-23,30,SOP,order1,op1,PR041301,EPR041301,排序,整体式全景天窗,CX10,深色主题,厂商A LFP 177Ah（460）+厂商B(小) 60.038kWh+100kW(厂商FBMS)
42130,Factory1,K4,WL0005,M0011,低配-Lite,极地白,2022-10-23,31,SOP,order1,op1,PR041302,EPR041302,排序,整体式全景天窗,CX10,深色主题,厂商A LFP 177Ah（460）+厂商B(小) 60.038kWh+100kW(厂商FBMS)
42131,Factory1,K4,WL0005,M0011,低配-Lite,极地白,2022-10-23,32,SOP,order1,op1,PR041303,EPR041303,排序,整体式全景天窗,CX10,深色主题,厂商A LFP 177Ah（460）+厂商B(小) 60.038kWh+100kW(厂商FBMS)
42132,Factory1,K4,WL0005,M0011,低配-Lite,极地白,2022-10-23,33,SOP,order1,op1,PR041304,EPR041304,排序,整体式全景天窗,CX10,深色主题,厂商A LFP 177Ah（460）+厂商B(小) 60.038kWh+100kW(厂商FBMS)
42133,Factory1,K4,WL0005,M0011,低配-Lite,极地白,2022-10-23,34,SOP,order1,op1,PR041305,EPR041305,排序,整体式全景天窗,CX10,深色主题,厂商A LFP 177Ah（460）+厂商B(小) 60.038kWh+100kW(厂商FBMS)
42134,Factory1,K4,WL0005,M0011,低配-Lite,极地白,2022-10-23,35,SOP,order1,op1,PR041306,EPR041306,排序,整体式全景天窗,CX10,深色主题,厂商A LFP 177Ah（460）+厂商B(小) 60.038kWh+100kW(厂商FBMS)
42135,Factory1,K4,WL0005,M0011,低配-Lite,极地白,2022-10-23,36,SOP,order1,op1,PR041307,EPR041307,排序,整体式全景天窗,CX10,深色主题,厂商A LFP 177Ah（460）+厂商B(小) 60.038kWh+100kW(厂商FBMS)
42136,Factory1,K4,WL0005,M0011,低配-Lite,极地白,2022-10-23,37,SOP,order1,op1,PR041308,EPR041308,排序,整体式全景天窗,CX10,深色主题,厂商A LFP 177Ah（460）+厂商B(小) 60.038kWh+100kW(厂商FBMS)
42137,Factory1,K4,WL0005,M0011,低配-Lite,极地白,2022-10-23,38,SOP,order1,op1,PR041309,EPR041309,排序,整体式全景天窗,CX10,深色主题,厂商A LFP 177Ah（460）+厂商B(小) 60.038kWh+100kW(厂商FBMS)
42138,Factory1,K4,WL0005,M0011,低配-Lite,极地白,2022-10-23,39,SOP,order1,op1,PR041310,EPR041310,排序,整体式全景天窗,CX10,深色主题,厂商A LFP 177Ah（460）+厂商B(小) 60.038kWh+100kW(厂商FBMS)
42139,Factory1,K4,WL0005,M0011,低配-Lite,极地白,2022-10-23,40,SOP,order1,op1,PR041311,EPR041311,排序,整体式全景天窗,CX10,深色主题,厂商A LFP 177Ah（460）+厂商B(小) 60.038kWh+100kW(厂商FBMS)
42140,Factory1,K4,WL0005,M0011,低配-Lite,极地白,2022-10-23,41,SOP,order1,op1,PR041312,EPR041312,排序,整体式全景天窗,CX10,深色主题,厂商A LFP 177Ah（460）+厂商B(小) 60.038kWh+100kW(厂商FBMS)
42141,Factory1,K4,WL0005,M0011,低配-Lite,极地白,2022-10-23,42,SOP,order1,op1,PR041313,EPR041313,排序,整体式全景天窗,CX10,深色主题,厂商A LFP 177Ah（460）+厂商B(小) 60.038kWh+100kW(厂商FBMS)
42142,Factory1,K4,WL0005,M0011,低配-Lite,极地白,2022-10-23,43,SOP,order1,op1,PR041314,EPR041314,排序,整体式全景天窗,CX10,深色主题,厂商A LFP 177Ah（460）+厂商B(小) 60.038kWh+100kW(厂商FBMS)
42143,Factory1,K4,WL0005,M0011,低配-Lite,极地白,2022-10-23,44,SOP,order1,op1,PR041315,EPR041315,排序,整体式全景天窗,CX10,深色主题,厂商A LFP 177Ah（460）+厂商B(小) 60.038kWh+100kW(厂商FBMS)
42144,Factory1,K4,WL0005,M0011,低配-Lite,极地白,2022-10-23,45,SOP,order1,op1,PR041316,EPR041316,排序,整体式全景天窗,CX10,深色主题,厂商A LFP 177Ah（460）+厂商B(小) 60.038kWh+100kW(厂商FBMS)
42145,Factory1,K4,WL0005,M0011,低配-Lite,极地白,2022-10-23,46,SOP,order1,op1,PR041317,EPR041317,排序,整体式全景天窗,CX10,深色主题,厂商A LFP 177Ah（460）+厂商B(小) 60.038kWh+100kW(厂商FBMS)
42146,Factory1,K4,WL0005,M0011,低配-Lite,极地白,2022-10-23,47,SOP,order1,op1,PR041318,EPR041318,排序,整体式全景天窗,CX10,深色主题,厂商A LFP 177Ah（460）+厂商B(小) 60.038kWh+100kW(厂商FBMS)
42147,Factory1,K4,WL0005,M0011,低配-Lite,极地白,2022-10-23,48,SOP,order1,op1,PR041319,EPR041319,排序,整体式全景天窗,CX10,深色主题,厂商A LFP 177Ah（460）+厂商B(小) 60.038kWh+100kW(厂商FBMS)
42148,Factory1,K4,WL0005,M0011,低配-Lite,极地白,2022-10-23,49,SOP,order1,op1,PR041320,EPR041320,排序,整体式全景天窗,CX10,深色主题,厂商A LFP 177Ah（460）+厂商B(小) 60.038kWh+100kW(厂商FBMS)
42149,Factory1,K4,WL0317,M0345,中配,全息银,2022-10-23,50,SOP,order1,op1,PR041321,EPR041321,排序,天幕,CX51,黑灰主题,厂商A LFP 177Ah（510）+厂商E（小）60.038KWh+150kW(厂商FBMS)
42150,Factory1,K4,WL0317,M0345,中配,全息银,2022-10-23,51,SOP,order1,op1,PR041322,EPR041322,排序,天幕,CX51,黑灰主题,厂商A LFP 177Ah（510）+厂商E（小）60.038KWh+150kW(厂商FBMS)
42151,Factory1,K4,WL0318,M0346,网约车北方版,极地白,2022-10-23,52,SOP,order1,op1,PR041323,EPR041323,排序,无天窗,CX47,网约主题,厂商A LFP 177Ah（460）+厂商B(小) 60.038kWh+100kW(厂商FBMS)
42152,Factory1,K4,WL0318,M0346,网约车北方版,极地白,2022-10-23,53,SOP,order1,op1,PR041324,EPR041324,排序,无天窗,CX47,网约主题,厂商A LFP 177Ah（460）+厂商B(小) 60.038kWh+100kW(厂商FBMS)
42153,Factory1,K4,WL0318,M0346,网约车北方版,极地白,2022-10-23,54,SOP,order1,op1,PR041325,EPR041325,排序,无天窗,CX47,网约主题,厂商A LFP 177Ah（460）+厂商B(小) 60.038kWh+100kW(厂商FBMS)
42154,Factory1,K4,WL0318,M0346,网约车北方版,极地白,2022-10-23,55,SOP,order1,op1,PR041326,EPR041326,排序,无天窗,CX47,网约主题,厂商A LFP 177Ah（460）+厂商B(小) 60.038kWh+100kW(厂商FBMS)
42155,Factory1,K4,WL0318,M0346,网约车北方版,极地白,2022-10-23,56,SOP,order1,op1,PR041327,EPR041327,排序,无天窗,CX47,网约主题,厂商A LFP 177Ah（460）+厂商B(小) 60.038kWh+100kW(厂商FBMS)
42156,Factory1,K4,WL0318,M0346,网约车北方版,极地白,2022-10-23,57,SOP,order1,op1,PR041328,EPR041328,排序,无天窗,CX47,网约主题,厂商A LFP 177Ah（460）+厂商B(小) 60.038kWh+100kW(厂商FBMS)
42157,Factory1,K4,WL0318,M0346,网约车北方版,极地白,2022-10-23,58,SOP,order1,op1,PR041329,EPR041329,排序,无天窗,CX47,网约主题,厂商A LFP 177Ah（460）+厂商B(小) 60.038kWh+100kW(厂商FBMS)
42158,Factory1,K4,WL0318,M0346,网约车北方版,极地白,2022-10-23,59,SOP,order1,op1,PR041330,EPR041330,排序,无天窗,CX47,网约主题,厂商A LFP 177Ah（460）+厂商B(小) 60.038kWh+100kW(厂商FBMS)
42159,Factory1,K4,WL0318,M0346,网约车北方版,极地白,2022-10-23,60,SOP,order1,op1,PR041331,EPR041331,排序,无天窗,CX47,网约主题,厂商A LFP 177Ah（460）+厂商B(小) 60.038kWh+100kW(厂商FBMS)
42160,Factory1,K4,WL0318,M0346,网约车北方版,极地白,2022-10-23,61,SOP,order1,op1,PR041332,EPR041332,排序,无天窗,CX47,网约主题,厂商A LFP 177Ah（460）+厂商B(小) 60.038kWh+100kW(厂商FBMS)
42161,Factory1,K4,WL0252,M0277,网约车北方版,极速银,2022-10-23,62,SOP,order1,op1,PR041333,EPR041333,排序,无天窗,CX47,网约主题,厂商A LFP 177Ah（460）+厂商B(小) 60.038kWh+100kW(厂商FBMS)
42162,Factory1,K4,WL0252,M0277,网约车北方版,极速银,2022-10-23,63,SOP,order1,op1,PR041334,EPR041334,排序,无天窗,CX47,网约主题,厂商A LFP 177Ah（460）+厂商B(小) 60.038kWh+100kW(厂商FBMS)
42163,Factory1,K4,WL0252,M0277,网约车北方版,极速银,2022-10-23,64,SOP,order1,op1,PR041335,EPR041335,排序,无天窗,CX47,网约主题,厂商A LFP 177Ah（460）+厂商B(小) 60.038kWh+100kW(厂商FBMS)
42164,Factory1,K4,WL0252,M0277,网约车北方版,极速银,2022-10-23,65,SOP,order1,op1,PR041336,EPR041336,排序,无天窗,CX47,网约主题,厂商A LFP 177Ah（460）+厂商B(小) 60.038kWh+100kW(厂商FBMS)
