序号,工厂,车型,物料号,MTOC,车辆等级描述,外色描述,计划日期,每日顺序,阶段,订单类型,操作类型,生产订单号,生产订单号-ERP,订单状态,天窗,主车型代码,内饰描述,电池特征
37439,Factory1,K6,WL0008,M0031,中配,极速银,2022-10-16,965,SOP,order1,op1,PR036635,EPR036635,排序,天幕,CX18,灰橙主题,厂商A 58Ah(510)+厂商B 58.81kWh+150kW
37440,Factory1,K6,WL0008,M0031,中配,极速银,2022-10-16,966,SOP,order1,op1,PR036636,EPR036636,排序,天幕,CX18,黑灰主题,厂商A 58Ah(510)+厂商B 58.81kWh+150kW
37441,Factory1,K6,WL0008,M0031,中配,极速银,2022-10-16,967,SOP,order1,op1,PR036637,EPR036637,排序,天幕,CX18,黑灰主题,厂商A 58Ah(510)+厂商B 58.81kWh+150kW
37442,Factory1,K6,WL0008,M0031,中配,极速银,2022-10-16,968,SOP,order1,op1,PR036638,EPR036638,排序,天幕,CX18,黑灰主题,厂商A 58Ah(510)+厂商B 58.81kWh+150kW
37443,Factory1,K6,WL0008,M0031,中配,极速银,2022-10-16,969,SOP,order1,op1,PR036639,EPR036639,排序,天幕,CX18,灰橙主题,厂商A 58Ah(510)+厂商B 58.81kWh+150kW
37444,Factory1,K6,WL0008,M0031,中配,极速银,2022-10-16,970,SOP,order1,op1,PR036640,EPR036640,排序,天幕,CX18,黑灰主题,厂商A 58Ah(510)+厂商B 58.81kWh+150kW
37445,Factory1,K6,WL0008,M0031,中配,极速银,2022-10-16,971,SOP,order1,op1,PR036641,EPR036641,排序,天幕,CX18,黑灰主题,厂商A 58Ah(510)+厂商B 58.81kWh+150kW
37446,Factory1,K6,WL0008,M0031,中配,极速银,2022-10-16,972,SOP,order1,op1,PR036642,EPR036642,排序,天幕,CX18,黑灰主题,厂商A 58Ah(510)+厂商B 58.81kWh+150kW
37438,Factory1,K6,WL0008,M0119,高配,极速银,2022-10-16,964,SOP,order1,op1,PR036634,EPR036634,排序,天幕,CX36,黑灰主题,厂商A 58Ah(510)+厂商B 58.81kWh+150kW
37392,Factory1,K6,WL0008,M0119,高配,黑/冰玫粉,2022-10-16,918,SOP,order1,op1,PR036588,EPR036588,排序,全景EC天幕,CX36,黑灰主题,厂商A 58Ah(510)+厂商B 58.81kWh+150kW
37400,Factory1,K6,WL0008,M0031,中配,黑/冰玫粉,2022-10-16,926,SOP,order1,op1,PR036596,EPR036596,排序,天幕,CX18,浅灰主题,厂商A 58Ah(510)+厂商B 58.81kWh+150kW
37474,Factory1,K6,WL0008,M0031,中配,全息银,2022-10-16,1000,SOP,order1,op1,PR036670,EPR036670,排序,天幕,CX18,灰橙主题,厂商A 58Ah(510)+厂商B 58.81kWh+150kW
37452,Factory1,K6,WL0008,M0119,高配,全息银,2022-10-16,978,SOP,order1,op1,PR036648,EPR036648,排序,天幕,CX36,黑灰主题,厂商A 58Ah(510)+厂商B 58.81kWh+150kW
